Main Wing							
  y-span	Chord	Ai	Cl	PCd	ICd	CmGeom	CmAirf@chord/4
0.0169	4.3964	-1.847	0.45594	0	-0.029701	-0.24788	-0.051461
0.0842	4.382	-1.759	0.709879	0	0.012798	-0.24978	-0.047976
0.2181	4.3533	-1.783	0.753779	0	0.020003	-0.256566	-0.043166
0.417	4.3106	-1.839	0.773409	0	0.023026	-0.269128	-0.037701
0.6789	4.2545	-1.9	0.789028	0	0.02508	-0.288792	-0.032433
1.0009	4.1855	-1.955	0.80464	0	0.026733	-0.316588	-0.027854
1.3793	4.1044	-1.999	0.821166	0	0.028122	-0.35333	-0.024176
1.8102	4.0121	-2.026	0.838644	0	0.02926	-0.399686	-0.021408
2.2887	3.9096	-2.037	0.856818	0	0.030163	-0.456263	-0.019444
2.8096	3.7979	-2.034	0.875317	0	0.030828	-0.523626	-0.018118
3.3673	3.6784	-2.018	0.89376	0	0.031273	-0.602347	-0.017262
3.9555	3.5524	-1.993	0.911799	0	0.031546	-0.693009	-0.016729
4.5679	3.4212	-1.963	0.929099	0	0.031694	-0.796122	-0.016397
5.1977	3.2862	-1.934	0.945343	0	0.031779	-0.912092	-0.016171
5.8381	3.149	-1.908	0.960194	0	0.031864	-1.041089	-0.015969
6.4819	3.011	-1.891	0.973276	0	0.032023	-1.182905	-0.015725
7.1223	2.8738	-1.888	0.984122	0	0.03234	-1.336706	-0.015374
7.7521	2.7388	-1.904	0.992122	0	0.032904	-1.50072	-0.01484
8.3645	2.6076	-1.948	0.996456	0	0.033817	-1.671802	-0.014025
8.9527	2.4816	-2.027	0.995998	0	0.035181	-1.844801	-0.012793
9.5104	2.3621	-2.151	0.989199	0	0.037083	-2.011871	-0.010947
10.0313	2.2504	-2.328	0.973948	0	0.039544	-2.16149	-0.008222
10.5098	2.1479	-2.568	0.947464	0	0.042447	-2.277697	-0.004282
10.9407	2.0556	-2.871	0.906277	0	0.045404	-2.339808	0.001204
11.3191	1.9745	-3.226	0.846521	0	0.047683	-2.323849	0.008339
11.6411	1.9055	-3.616	0.764646	0	0.04829	-2.207284	0.016542
11.903	1.8494	-4.021	0.658508	0	0.046262	-1.978327	0.023884
12.1019	1.8067	-4.44	0.528454	0	0.041012	-1.652013	0.025777
12.2358	1.778	-4.901	0.378449	0	0.032441	-1.306602	0.011223
12.3031	1.7636	-5.767	0.224138	0	0.022633	-0.917674	0.015694
