Main Wing,,,,,,,
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4
0.0169,4.3964,-0.419,0.081085,0,0.00062,-0.041544,-0.020986
0.0842,4.382,-0.291,0.084137,0,0.000432,-0.041626,-0.020802
0.2181,4.3533,-0.243,0.084887,0,0.000361,-0.042154,-0.020191
0.417,4.3106,-0.222,0.085572,0,0.000332,-0.043201,-0.019479
0.6789,4.2545,-0.214,0.086455,0,0.000323,-0.044943,-0.018794
1.0009,4.1855,-0.211,0.087577,0,0.000323,-0.047511,-0.018204
1.3793,4.1044,-0.211,0.08892,0,0.000328,-0.050997,-0.017738
1.8102,4.0121,-0.211,0.090441,0,0.000334,-0.055468,-0.017394
2.2887,3.9096,-0.211,0.092089,0,0.000339,-0.060976,-0.017157
2.8096,3.7979,-0.209,0.09381,0,0.000343,-0.067569,-0.017001
3.3673,3.6784,-0.207,0.095554,0,0.000345,-0.075296,-0.016905
3.9555,3.5524,-0.204,0.09728,0,0.000346,-0.084204,-0.01685
4.5679,3.4212,-0.2,0.09895,0,0.000346,-0.094342,-0.016819
5.1977,3.2862,-0.197,0.100529,0,0.000346,-0.105749,-0.016803
5.8381,3.149,-0.194,0.101982,0,0.000345,-0.118442,-0.01679
6.4819,3.011,-0.192,0.103272,0,0.000346,-0.132402,-0.016776
7.1223,2.8738,-0.191,0.10435,0,0.000349,-0.147554,-0.01675
7.7521,2.7388,-0.193,0.105159,0,0.000354,-0.163737,-0.016707
8.3645,2.6076,-0.198,0.105619,0,0.000364,-0.180657,-0.016637
8.9527,2.4816,-0.206,0.10562,0,0.000379,-0.197835,-0.016524
9.5104,2.3621,-0.219,0.105015,0,0.000401,-0.21453,-0.016345
10.0313,2.2504,-0.239,0.103598,0,0.000432,-0.229649,-0.016069
10.5098,2.1479,-0.266,0.101093,0,0.00047,-0.241651,-0.015645
10.9407,2.0556,-0.303,0.097139,0,0.000514,-0.24846,-0.015001
11.3191,1.9745,-0.35,0.091299,0,0.000557,-0.247514,-0.014052
11.6411,1.9055,-0.405,0.083113,0,0.000587,-0.236118,-0.01273
11.903,1.8494,-0.467,0.072221,0,0.000589,-0.212461,-0.011074
12.1019,1.8067,-0.538,0.058498,0,0.00055,-0.178069,-0.009404
12.2358,1.778,-0.615,0.04221,0,0.000453,-0.145885,-0.008703
12.3031,1.7636,-0.716,0.025063,0,0.000313,-0.107172,-0.005916
